ID;DISCIPLINA;ARGOMENTO;SUBARGOMENTO;COMANDO;ESERCIZIO;LIVELLO;SOLUZIONE;TIPO
107;Matematica;derivate;a_hospital;Calcolare il seguente limite utilizzando eventualmente il teorema di De L’Hospital:;$\lim _{x \rightarrow 4} \dfrac{\sqrt{x}-2}{x^{2}+3 x-28}$;2;$[1/44]$;A
108;Matematica;derivate;a_hospital;Calcolare il seguente limite utilizzando eventualmente il teorema di De L’Hospital:;$\lim _{x \rightarrow+\infty} \dfrac{\ln (1+2 x)}{\ln x}$;2;$[1]$;A
109;Matematica;derivate;a_maxmin_flessi;Determinare i punti di massimo e di minimo relativi e quelli di flesso orizzontale delle seguenti funzioni:;$y=x^{4}-4 x^{3}$;1;"$[flesso a tangente orizzontale per x=0; minimo per x=3]$";A
110;Matematica;derivate;a_maxmin_flessi;Determinare i punti di massimo e di minimo relativi e quelli di flesso orizzontale delle seguenti funzioni:;$y=\dfrac{x}{x^{2}+4}$;1;$[massimo per x=2, minimo per x=-2]$;A
111;Matematica;derivate;a_maxmin_flessi;Determinare i punti di massimo e di minimo relativi e quelli di flesso orizzontale delle seguenti funzioni:;$y=\left(x^{2}-1\right)^{3}$;1;"$[flessi a tangente orizzontale per x= +-1; minimo per x=0]$";A
112;Matematica;derivate;a_maxmin_flessi;Determinare i punti di massimo e di minimo relativi e quelli di flesso orizzontale delle seguenti funzioni:;$y=\dfrac{x^{2}}{x+3}$;1;$[minimo per x=0, massimo per x=-6]$;A
113;Matematica;derivate;a_maxmin_flessi;Determinare i punti di massimo e di minimo relativi e quelli di flesso orizzontale delle seguenti funzioni:;$y=\ln \left(x^{3}-3 x\right)$;2;$[massimo per x=-1]$;A
114;Matematica;derivate;a_maxmin_flessi;Determinare i punti di massimo e di minimo relativi e quelli di flesso orizzontale delle seguenti funzioni:;$y=\dfrac{x}{e^{3 x}}$;2;$[massimo per x=1/3]$;A
115;Matematica;derivate;a_maxmin_flessi;Determinare i punti di massimo e di minimo relativi e quelli di flesso orizzontale delle seguenti funzioni:;$y=\ln x-2 x$;2;$[massimo per x=1/2]$;A
116;Matematica;derivate;a_maxmin_flessi;Determinare i punti di massimo e di minimo relativi e quelli di flesso orizzontale delle seguenti funzioni:;$y=e^{2 x}-e^{x}$;2;$[massimo per x=ln(1/2)]$;A
117;Matematica;derivate;a_problemi_ottimiz;Risolvere il seguente problema:;Foglio di area minima. Un foglio di carta rettangolare deve contenere un’area di stampa di 50 $cm^2$, margini superiore e inferiore di 4 $cm$ e margini laterali di 2 $cm$. Quali sono le dimensioni del foglio di area minima che si può utilizzare?;2;$[9 cm, 18 cm]$;A
118;Matematica;derivate;a_problemi_ottimiz;Risolvere il seguente problema:;La scatola più «economica». Si vogliono costruire, con un determinato materiale, delle scatole senza coperchio, a forma di parallelepipedo rettangolo, aventi base quadrata.  Se si vuole che il volume di ogni scatola sia di 256 $dm^3$, quali sono le dimensioni della scatola che richiedono la minima quantità di materiale? ;2;$[Lato del quadrato di base = 8 dm]$;A
119;Matematica;derivate;a_problemi_ottimiz;Risolvere il seguente problema:;Tra le rette passanti per il punto $P(-6, -8)$, qual è quella che ha massima distanza dal punto $A(2 , -1)$? (Suggerimento: scrivi l’equazione della retta passante per  $P$ e di coefficiente angolare generico $m$ e determina $m$ in modo che sia massima la distanza dal punto $A$).;2;$[m=-8/7]$;A
120;Matematica;derivate;a_problemi_ottimiz;Risolvere il seguente problema:;Massimo ricavo.  Una compagnia aerea decide di stabilire il prezzo del biglietto di un volo (per persona) nel seguente modo: 200 euro più 10 euro per ogni posto che resterà libero. L’aereo dispone di 150 posti. Quanti posti devono restare liberi affinché la compagnia ottenga il massimo ricavo? In questo caso, quanto vale il ricavo?;2;$[Il massimo ricavo si ha in corrispondenza di 65 posti liberi]$;A
121;Matematica;derivate;a_problemi_ottimiz;Risolvere il seguente problema:;Tra i rettangoli di perimetro uguale a 100 cm, determina le misure dei lati del rettangolo di area massima.;3;$[Il quadrato di lato 25 cm]$;A
122;Matematica;derivate;a_problemi_ottimiz;Risolvere il seguente problema:;Tra i rettangoli di area uguale a 100 $cm^2$, determina le misure dei lati del rettangolo di perimetro minimo.;4;$[Il quadrato di lato 10 cm]$;A
123;Matematica;derivate;a_problemi_ottimiz;Risolvere il seguente problema:;Determina il numero reale positivo tale che la differenza tra il cubo del numero e il triplo del quadrato del numero stesso sia la minima possibile.;5;$[2]$;A
124;Matematica;derivate;a_problemi_ottimiz;Risolvere il seguente problema:;Determina il numero reale positivo tale che la differenza tra il quadruplo del quadrato del numero e un terzo del cubo del numero stesso sia la massima possibile.;1;$[8]$;A
125;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int\left(4 x^{3}+6 x^{2}+1\right) d x$;1;$[x^4+2x^3+x+c]$;A
126;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int\left(9 x^{2}-4 x-3\right) d x$;1;$\left[3 x^{3}-2 x^{2}-3 x+c\right]$;A
127;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int(x+1)^{2} d x$;1;$\left[\dfrac{x^{3}}{3}+x^{2}+x+c\right]$;A
128;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int x(3 x-2)^{2} d x$;1;$\left[\dfrac{9}{4} x^{4}-4 x^{3}+2 x^{2}+c\right]$;A
129;Matematica;integrali;a_primitive;Risolvere il seguente esercizio:;Tra le primitive della funzione $f(x)=\dfrac{x^2+1}{x^2}$,  determina quella il cui grafico passa per il punto di coordinate $(2, 4)$.;1;$[F(x)=x-1/x+5/2]$;A
130;Matematica;integrali;a_primitive;Risolvere il seguente esercizio:;Tra le primitive della funzione $f(x)=e^x-2x$, determina quella il cui grafico passa per il punto di coordinate $(0, 3)$.;1;$[F(x)=e^x-x^2+2]$;A
131;Matematica;integrali;a_primitive;Risolvere il seguente esercizio:;Tra le primitive della funzione $f(x)=\dfrac{x^2+1}{x}$,  determina quella il cui grafico passa per il punto di coordinate $(1, 2)$.;1;$[F(x)=ln|x|+1/2 x^2+3/2]$;A
132;Matematica;integrali;a_primitive;Risolvere il seguente esercizio:;Tra le primitive della funzione $f(x)=\sin(x) - 2 \cos(x)$,  determina quella il cui grafico passa per il punto di coordinate $(\dfrac{\pi}{2}, 1)$.;1;$[F(x)=-2 \sin(x)-\cos(x)+3]$;A
133;Matematica;sistemi_lineari;c_grado_sol;(*) Il grado di un sistema intero di due equazioni in due incognite è:;"\begin{tasks}(1)
    \task la somma dei gradi delle due equazioni del sistema
    \task il prodotto dei gradi delle due equazioni del sistema
    \task il maggiore tra i gradi delle due equazioni del sistema
\end{tasks}";1;$B$;C
134;Matematica;sistemi_lineari;c_grado_sol;"(*) La coppia ordinata (1; -1) è soluzione di uno solo dei seguenti sistemi. Quale?";"\begin{tasks}(2)
    \task $\left\{\begin{array}{l}x+y+1=0 \\ 2 x-y+1=0\end{array}\right.$
    \task $\left\{\begin{array}{l}2 x+y-1=0 \\ x-y-2=0\end{array}\right.$
    \task $\left\{\begin{array}{l}x-y+1=0 \\ 2 x-y+1=0\end{array}\right.$
\end{tasks}";1;$B$;C
