ID;DISCIPLINA;ARGOMENTO;SUBARGOMENTO;COMANDO;ESERCIZIO;LIVELLO;SOLUZIONE;TIPO
217;Matematica;esponenziali;c_problemi;La prima legge di Moore prevede che il numero dei transistor nei processori raddoppia ogni 18 mesi. Nel maggio 1997 è stato lanciato un processore che conteneva 7,5 milioni di transistor. Stabilisci, usando la previsione della legge di Moore, dopo quanti mesi dal maggio 1997 il numero di transistor di un processore è divenuto uguale a 60 milioni.;"\begin{tasks}(4)
    \task $51$
    \task $52$
    \task $53$
    \task $54$
\end{tasks}";2;$D$;C
218;Matematica;rette;a_problemi;Risolvere il seguente problema utilizzando le funzioni lineari:;La relazione che lega la temperatura F, misurata in gradi Fahrenheit, alla temperatura C, misurata in gradi centigradi, è lineare. Ricavare tale funzione lineare ricordando che l'acqua congela a 0 gradi centigradi, che corrispondono a 32 gradi Fahrenheit, e bolle a 100 gradi centigradi, che corrispondono a 212 gradi Fahrenheit. Indicare infine a quanti gradi centigradi corrispondono $176$ gradi Fahrenheit.;2;"$\left[ F=\frac{9}{5}C+32 \right]; 80$";A
219;Matematica;rette;a_problemi;Risolvere il seguente problema utilizzando le funzioni lineari:;Il consumo di ossigeno di una persona (in litri per minuto) è legato al numero di battiti cardiaci (al minuto) da una funzione approssimativamente lineare. In media, a 98 battiti al minuto una persona consuma 1 litro di ossigeno e a 155 battiti al minuto consuma 1,5 litri di ossigeno. Esprimere il numero y di litri di ossigeno consumati in un minuto in funzione del numero x di battiti cardiaci (al minuto). Se in un minuto si consumano 0,5 litri di ossigeno quanti battiti al minuto si registrano?;2;"$\left[ y=\frac{1}{114}x+\frac{8}{57} \right]; 41$";A
220;Matematica;rette;c_problemi;La relazione che lega la temperatura F, misurata in gradi Fahrenheit, alla temperatura C, misurata in gradi centigradi, è lineare. Ricava tale relazione ricordando che l'acqua congela a 0 gradi centigradi, che corrispondono a 32 gradi Fahrenheit, e bolle a 100 gradi centigradi, che corrispondono a 212 gradi Fahrenheit.;"\begin{tasks}(2)
    \task $F=\frac{9}{5}C+32$
    \task $F=\frac{5}{9}C+32$
    \task $F=\frac{9}{5}C+212$
    \task $F=\frac{5}{9}C+212$
\end{tasks}";2;$A$;C
221;Matematica;rette;c_problemi;Il consumo di ossigeno di una persona (in litri per minuto) è legato al numero di battiti cardiaci (al minuto) da una relazione approssimativamente lineare. In media, a 98 battiti al minuto una persona consuma 1 litro di ossigeno e a 155 battiti al minuto consuma 1,5 litri di ossigeno. Esprimi il numero y di litri di ossigeno consumati in un minuto in funzione del numero x di battiti cardiaci (al minuto).;"\begin{tasks}(2)
    \task $y=\frac{1}{112}x+\frac{6}{57}$
    \task $y=\frac{1}{113}x+\frac{7}{57}$
    \task $y=\frac{1}{114}x+\frac{8}{57}$
    \task $y=\frac{1}{115}x+\frac{9}{57}$
\end{tasks}";2;$C$;C
222;Matematica;rette;a_problemi;Risolvere il seguente problema utilizzando le funzioni lineari:;"Giovanni chiede ad una ditta di catering due preventivi per la festa di compleanno della figlia: il preventivo A prevede una quota fissa di 120 euro più 4 euro per ogni invitato; il preventivo B prevede una quota fissa di 80 euro più 6 euro per ogni invitato. Per quale numero di invitati i due preventivi sono equivalenti? Per quali numeri di invitati è più conveniente il preventivo A? ";1;$20$;A
223;Matematica;rette;a_problemi;Risolvere il seguente problema utilizzando le funzioni lineari:;Per il trasporto di una certa merce due ditte diverse applicano le seguenti condizioni. La ditta A applica una spesa fissa di 100 euro più 10 euro per ogni quintale di merce trasportata. La ditta B non applica nessuna spesa fissa e chiede 12 euro per ogni quintale di merce trasportata. Per quanti quintali di merce le spese di trasporto sono uguali sia con la ditta A che con la B? Per quanti quintali di merce le spese di trasporto sono più convenienti con la ditta A?;1;$50$;A
224;Matematica;rette;c_problemi_scelta;"(*) Giovanni chiede ad una ditta di catering due preventivi per la festa di compleanno della figlia: il preventivo A prevede una quota fissa di 120 euro più 4 euro per ogni invitato; il preventivo B prevede una quota fissa di 80 euro più 6 euro per ogni invitato. Per quale numero di invitati i due preventivi sono equivalenti?";"\begin{tasks}(4)
    \task $10$
    \task $20$
    \task $30$
    \task $40$
\end{tasks}";1;$B$;C
225;Matematica;rette;c_problemi_scelta;(*) Per il trasporto di una certa merce due ditte diverse applicano le seguenti condizioni. La ditta A applica una spesa fissa di 100 euro più 10 euro per ogni quintale di merce trasportata. La ditta B non applica nessuna spesa fissa e chiede 12 euro per ogni quintale di merce trasportata. Per quanti quintali di merce le spese di trasporto sono uguali sia con la ditta A che con la B?;"\begin{tasks}(4)
    \task $20$
    \task $30$
    \task $40$
    \task $50$
\end{tasks}";1;$D$;C
226;Matematica;piano_cartesiano;a_distanza;Risolvere il seguente esercizio:;Calcolare la distanza tra i due punti $A(-3, +2)$ e $B(0,-2)$.;1;$5$;A
227;Matematica;piano_cartesiano;a_distanza;Risolvere il seguente esercizio:;Calcolare la distanza tra i due punti $A(-3, +15)$ e $B(+9,+10)$.;1;$13$;A
228;Matematica;piano_cartesiano;c_distanza;(*) Calcolare la distanza tra i due punti $A(-3, +2)$ e $B(0,-2)$.;"\begin{tasks}(4)
    \task $4$
    \task $5$
    \task $6$
    \task $7$
\end{tasks}";1;$B$;C
229;Matematica;piano_cartesiano;c_distanza;(*) Calcolare la distanza tra i due punti $A(-3, +15)$ e $B(+9,+10)$.;"\begin{tasks}(4)
    \task $10$
    \task $11$
    \task $12$
    \task $13$
\end{tasks}";1;$D$;C
230;Matematica;piano_cartesiano;a_medio;Risolvere il seguente esercizio:;Determina l’estremo B del segmento AB, noto l’estremo $A(-3, +2)$ e il punto medio $M(-\frac{3}{2}, 0)$ di AB.;2;$B(0,-2)$;A
231;Matematica;piano_cartesiano;a_medio;Risolvere il seguente esercizio:;Determina l’estremo B del segmento AB, noto l’estremo $A(-3, +15)$ e il punto medio $M(+3, \frac{25}{2})$ di AB.;2;$B(+9,+10)$;A
232;Matematica;piano_cartesiano;c_medio;Determina l’estremo B del segmento AB, noto l’estremo $A(-3, +2)$ e il punto medio $M(-\frac{3}{2}, 0)$ di AB.;"\begin{tasks}(2)
    \task $B(1,-2)$
    \task $B(2,-2)$
    \task $B(0,-2)$
    \task $B(-1,-2)$
\end{tasks}";2;$C$;C
233;Matematica;piano_cartesiano;c_medio;Determina l’estremo B del segmento AB, noto l’estremo $A(-3, +15)$ e il punto medio $M(+3, \frac{25}{2})$ di AB.;"\begin{tasks}(2)
    \task $B(+9,+10)$
    \task $B(-9,+10)$
    \task $B(+9,-10)$
    \task $B(-9,-10)$
\end{tasks}";2;$A$;C
234;Matematica;rette;a_intersezione;Risolvere il seguente esercizio:;Scrivere il sistema al quale corrisponde il grafico: \includegraphics[scale=0.2]{gr_sistema1};1;$\left\{\begin{array}{l}y=2x-1 \\ y=3x-3\end{array}\right.$;A
235;Matematica;rette;a_intersezione;Risolvere il seguente esercizio:;Scrivere il sistema al quale corrisponde il grafico: \includegraphics[scale=0.2]{gr_sistema2};1;$\left\{\begin{array}{l}y=-2x+3 \\ y=3x-7\end{array}\right.$;A
236;Matematica;rette;c_intersezione;(*) Determina a quale sistema corrisponde il grafico: \includegraphics[scale=0.4]{gr_sistema1};"\begin{tasks}(2)
    \task $\left\{\begin{array}{l}y=3x-1 \\ y=3x-3\end{array}\right.$
    \task $\left\{\begin{array}{l}y=2x-1 \\ y=2x-3\end{array}\right.$
    \task $\left\{\begin{array}{l}y=2x-1 \\ y=3x-3\end{array}\right.$
    \task $\left\{\begin{array}{l}y=2x-2 \\ y=3x-3\end{array}\right.$
\end{tasks}";1;$C$;C
237;Matematica;rette;c_intersezione;(*) Determina a quale sistema corrisponde il grafico: \includegraphics[scale=0.5]{gr_sistema2};"\begin{tasks}(2)
    \task $\left\{\begin{array}{l}y=2x+3 \\ y=3x-7\end{array}\right.$
    \task $\left\{\begin{array}{l}y=-2x+3 \\ y=3x-7\end{array}\right.$
    \task $\left\{\begin{array}{l}y=-2x+3 \\ y=3x+7\end{array}\right.$
    \task $\left\{\begin{array}{l}y=-2x+3 \\ y=-3x-7\end{array}\right.$
\end{tasks}";1;$B$;C
238;Matematica;rette;a_m_par_perp;Risolvere il seguente esercizio:;Determinare il coefficiente angolare $m$ della retta passante per i punti $A(3, 0)$ e $B(-2, 5)$ e stabilire se tale retta è parallela alla retta di equazione $y=-x+\frac{1}{3}$.;1;$[m=-1$ è parallela];A
239;Matematica;rette;a_m_par_perp;Risolvere il seguente esercizio:;Determinare il coefficiente angolare $m$ della retta passante per i punti $A(0, -3)$ e $B(-2, 5)$ e stabilire se tale retta è parallela alla retta di equazione $y=-4x+\frac{1}{2}$.;1;$[m=-4$ è parallela];A
240;Matematica;rette;c_equaz_condizioni;Determina la pendenza $m$ della retta passante per i punti $A(3, 0)$ e $B(-2, 5)$ e stabilisci se tale retta è parallela alla retta di equazione $y=-x+\frac{1}{3}$.;"\begin{tasks}(2)
    \task $m=-1 \,;$ è parallela
    \task $m=-2 \,;$ non è parallela
    \task $m=-1 \,;$ non è parallela
    \task $m=-2 \,;$ è parallela
\end{tasks}";1;$A$;C
241;Matematica;rette;c_equaz_condizioni;Determina la pendenza $m$ della retta passante per i punti $A(0, -3)$ e $B(-2, 5)$ e stabilisci se tale retta è parallela alla retta di equazione $y=-4x+\frac{1}{2}$.;"\begin{tasks}(2)
    \task $m=-3 \,;$ è parallela
    \task $m=-4 \,;$ non è parallela
    \task $m=-3 \,;$ non è parallela
    \task $m=-4 \,;$ è parallela
\end{tasks}";1;$D$;C
242;Matematica;rette;a_m_par_perp;Risolvere il seguente esercizio:;Determinare il coefficiente angolare $m$ della retta passante per i punti $A(0, -2)$ e $B(6, -4)$ e stabilire se tale retta è perpendicolare alla retta di equazione $3x-y+2=0$.;2;$[m=-\frac{1}{3}$ è perpendicolare];A
243;Matematica;rette;a_m_par_perp;Risolvere il seguente esercizio:;Determinare il coefficiente angolare $m$ della retta passante per i punti $A(0, -2)$ e $B(-4, 1)$ e stabilire se tale retta è perpendicolare alla retta di equazione $4x-3y+2=0$.;2;$[m=-\frac{3}{4}$ è perpendicolare];A
244;Matematica;rette;c_equaz_condizioni;Determina la pendenza $m$ della retta passante per i punti $A(0, -2)$ e $B(6, -4)$ e stabilisci se tale retta è perpendicolare alla retta di equazione $3x-y+2=0$.;"\begin{tasks}(2)
    \task $m=-\frac{1}{3} \,;$ non è perpendicolare
    \task $m=-\frac{1}{3} \,;$ è perpendicolare
    \task $m=\frac{1}{2} \,;$ non è perpendicolare
    \task $m=\frac{1}{2} \,;$ è perpendicolare
\end{tasks}";2;$B$;C
245;Matematica;rette;c_equaz_condizioni;Determina la pendenza $m$ della retta passante per i punti $A(0, -2)$ e $B(-4, 1)$ e stabilisci se tale retta è perpendicolare alla retta di equazione $4x-3y+2=0$.;"\begin{tasks}(2)
    \task $m=-\frac{3}{4} \,;$ non è perpendicolare
    \task $m=-\frac{3}{4} \,;$ è perpendicolare
    \task $m=-\frac{4}{3} \,;$ non è perpendicolare
    \task $m=-\frac{4}{3} \,;$ è perpendicolare
\end{tasks}";2;$B$;C
246;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int x\left(3 x^{2}-1\right)^{2} d x$;1;$\left[\frac{\left(3 x^{2}-1\right)^{3}}{18}+c\right]$;A
247;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int(4 x-1)\left(\frac{1}{2} x+2\right) d x$;1;$\left[\frac{2}{3} x^{3}+\frac{15}{4} x^{2}-2 x+c\right]$;A
248;Matematica;integrali;c_int_immediati;(*) Calcolare l’integrale indefinito: $$\int x\left(3 x^{2}-1\right)^{2} \, d x$$;"\begin{tasks}(1)
    \task $\frac{\left(3 x^{2}-1\right)^{3}}{18}+c$
    \task $\frac{\left(3 x^{2}-1\right)^{3}}{9}+c$
    \task $\frac{\left(2 x^{2}+1\right)^{3}}{18}+c$
    \task $\frac{\left(2 x^{2}+1\right)^{3}}{9}+c$
\end{tasks}";1;$A$;C
249;Matematica;integrali;c_int_immediati;(*) Calcolare l’integrale indefinito: $$\int(4 x-1)\left(\frac{1}{2} x+2\right) d x$$;"\begin{tasks}(1)
    \task $\frac{3}{2} x^{3}+\frac{4}{15} x^{2}-2 x+c$
    \task $\frac{2}{3} x^{3}+\frac{4}{15} x^{2}-2 x+c$
    \task $\frac{3}{2} x^{3}+\frac{15}{4} x^{2}-2 x+c$
    \task $\frac{2}{3} x^{3}+\frac{15}{4} x^{2}-2 x+c$
\end{tasks}";1;$D$;C
250;Matematica;integrali;a_int_parti;Calcolare l’integrale indefinito con la formula di integrazione per parti:;$\displaystyle \int 4 x \cos (2 x) \, d x$;2;$[2 x \sin (2 x)+\cos (2 x)+c]$;A
251;Matematica;integrali;a_int_parti;Calcolare l’integrale indefinito con la formula di integrazione per parti:;$\displaystyle \int(2 x+1) \ln (x+1) \, d x$;2;$\left[\left(x^{2}+x\right) \ln (x+1)-\frac{x^{2}}{2}+c\right]$;A
252;Matematica;integrali;c_parti;Calcolare il seguente integrale indefinito con il metodo di integrazione per parti: $$\int 4 x \cos 2 x \, d x$$;"\begin{tasks}(1)
    \task $\sin 2 x+2 x \cos 2 x+c$
    \task $x \sin 2 x+\cos 2 x+c$
    \task $2 x \sin 2 x+\cos 2 x+c$
    \task $\sin 2 x+ x \cos 2 x+c$
\end{tasks}";2;$C$;C
253;Matematica;integrali;c_parti;Calcolare il seguente integrale indefinito con il metodo di integrazione per parti: $$\int(2 x+1) \ln (x+1) \, d x$$;"\begin{tasks}(1)
    \task $\left(2 x^{2}+x\right) \ln (x+1)-\frac{x^{2}}{2}+c$
    \task $\left(x^{2}+x\right) \ln (x+1)-\frac{x^{2}}{2}+c$
    \task $\left(x^{2}+x\right) \ln (x+1)-\frac{x^{3}}{3}+c$
    \task $\left(x^{2}-x\right) \ln (x)-\frac{x^{2}}{2}+c$
\end{tasks}";2;$B$;C
254;Matematica;integrali;a_int_definito;Calcolare l’integrale definito:;${\displaystyle\int_{-1}^{1}} \left(x^{3}-3 x^{2}+1\right) \, d x$;1;$0$;A
255;Matematica;integrali;a_int_definito;Calcolare l’integrale definito:;${\displaystyle\int_{\frac{1}{4}}^{\frac{1}{2}}} \left(\dfrac{1}{x^{3}}+\dfrac{1}{x^{2}}\right) \, d x$;2;$8$;A
256;Matematica;integrali;c_int_definito;(*) Calcolare l’integrale definito: $$\int_{-1}^{1}\left(x^{3}-3 x^{2}+1\right) \, d x$$;"\begin{tasks}(4)
    \task $0$
    \task $1$
    \task $2$
    \task $3$
\end{tasks}";1;$A$;C
257;Matematica;integrali;c_int_definito;(*) Calcolare l’integrale definito: $$\int_{\frac{1}{4}}^{\frac{1}{2}}\left(\frac{1}{x^{3}}+\frac{1}{x^{2}}\right) \, d x$$;"\begin{tasks}(4)
    \task $7$
    \task $8$
    \task $9$
    \task $10$
\end{tasks}";1;$B$;C
258;Matematica;integrali;a_int_def_area;Calcolare l’area colorata nella figura:;\includegraphics[scale=0.4]{gr_int_def1};2;$\frac{343}{6}$;A
259;Matematica;integrali;a_int_def_area;Calcolare l’area colorata nella figura:;\includegraphics[scale=0.4]{gr_int_def2};2;$36$;A
260;Matematica;integrali;c_int_def_area;Calcolare l’area colorata nella figura: \includegraphics[scale=0.4]{gr_int_def1};"\begin{tasks}(4)
    \task $0$
    \task $9$
    \task $18$
    \task $27$
\end{tasks}";2;$C$;C
261;Matematica;integrali;c_int_def_area;Calcolare l’area colorata nella figura: \includegraphics[scale=0.4]{gr_int_def2};"\begin{tasks}(4)
    \task $9$
    \task $18$
    \task $27$
    \task $36$
\end{tasks}";2;$D$;C
262;Matematica;combinatoria;a_esercizio;Risolvere il seguente esercizio:;"Devi costruire il codice PIN del tuo cellulare nuovo; vuoi scegliere quattro delle dieci cifre, senza ripeterne nessuna. Quanti possibili codici puoi inventare?";1;$5040$;A
263;Matematica;combinatoria;a_esercizio;Risolvere il seguente esercizio:;A una festa cui partecipano quindici ragazzi si fa un brindisi. Se ciascuna persona fa incontrare il suo bicchiere con quello di tutte le altre, quanti «cin-cin» si fanno?;1;$105$;A
264;Matematica;combinatoria;c_conteggi;"(*) Devi costruire il codice PIN del tuo cellulare nuovo; vuoi scegliere quattro delle dieci cifre, senza ripeterne nessuna. Quanti possibili codici puoi inventare?";"\begin{tasks}(4)
    \task $336$
    \task $5040$
    \task $672$
    \task $2520$
\end{tasks}";1;$B$;C
265;Matematica;combinatoria;c_conteggi;(*) A una festa cui partecipano quindici ragazzi si fa un brindisi. Se ciascuna persona fa incontrare il suo bicchiere con quello di tutte le altre, quanti «cin-cin» si fanno?;"\begin{tasks}(4)
    \task $105$
    \task $210$
    \task $30$
    \task $225$
\end{tasks}";1;$A$;C
266;Matematica;combinatoria;a_esercizio;Risolvere il seguente esercizio:;Sviluppare e semplificare $\binom{n+1}{n}$.;2;$n+1$;A
267;Matematica;combinatoria;a_esercizio;Risolvere il seguente esercizio:;Sviluppare e semplificare $\binom{n}{n-2}$.;2;$\frac{(n-1)n}{2}$;A
268;Matematica;combinatoria;c_binomiale;Sviluppare e semplificare $\binom{n+1}{n}$.;"\begin{tasks}(4)
    \task $\frac{n+1}{n}$
    \task $n+1$
    \task $n$
    \task $1$
\end{tasks}";2;$B$;C
269;Matematica;combinatoria;c_binomiale;Sviluppare e semplificare $\binom{n}{n-2}$.;"\begin{tasks}(2)
    \task $\frac{(n-1)n}{2}$
    \task $\frac{(n-1)}{2}$
    \task $\frac{n}{2}$
    \task $-\frac{1}{2}$
\end{tasks}";2;$A$;C
270;Matematica;probabilità;a_classica;Risolvere il seguente esercizio:;"Nella rubrica di un cellulare ci sono alcuni nomi memorizzati; 8 iniziano con la lettera ""A"", 5 con la ""C"", 4 con la ""M"" e 3 con la ""N"". Si sceglie un nome a caso a cui mandare un SMS. Calcola la probabilità che esca un nome che inizia con una vocale.";1;$\frac{2}{5}$;A
271;Matematica;probabilità;a_classica;Risolvere il seguente esercizio:;"Nella rubrica di un cellulare ci sono alcuni nomi memorizzati; 8 iniziano con la lettera ""A"", 5 con la ""C"", 4 con la ""M"" e 3 con la ""N"". Si sceglie un nome a caso a cui mandare un SMS. Calcola la probabilità che esca un nome che inizia con una consonante.";1;$\frac{3}{5}$;A
272;Matematica;probabilità;c_classica;"(*) Nella rubrica di un cellulare ci sono alcuni nomi memorizzati; 8 iniziano con la lettera ""A"", 5 con la ""C"", 4 con la ""M"" e 3 con la ""N"". Si sceglie un nome a caso a cui mandare un SMS. Calcola la probabilità che esca un nome che inizia con una vocale.";"\begin{tasks}(4)
    \task $\frac{2}{3}$
    \task $\frac{1}{3}$
    \task $\frac{3}{5}$
    \task $\frac{2}{5}$
\end{tasks}";1;$D$;C
273;Matematica;probabilità;c_classica;"(*) Nella rubrica di un cellulare ci sono alcuni nomi memorizzati; 8 iniziano con la lettera ""A"", 5 con la ""C"", 4 con la ""M"" e 3 con la ""N"". Si sceglie un nome a caso a cui mandare un SMS. Calcola la probabilità che esca un nome che inizia con una consonante.";"\begin{tasks}(4)
    \task $\frac{2}{3}$
    \task $\frac{1}{3}$
    \task $\frac{3}{5}$
    \task $\frac{2}{5}$
\end{tasks}";1;$C$;C
274;Matematica;probabilità;a_equazioni;Risolvere il seguente esercizio:;Una scatola contiene palline di vario colore. In particolare, si sa che ci sono $8$ palline rosse e che la probabilità di estrarre una pallina rossa è $0,25$. Quante palline ci sono nell’urna?;2;$32$;A
275;Matematica;probabilità;a_equazioni;Risolvere il seguente esercizio:;In un’urna ci sono complessivamente $50$ biglie, alcune rosse e alcune nere. Estraendo a caso una biglia dalla scatola, la probabilità che essa sia rossa è $0,32$. Determina il numero di palline nere contenute nell’urna.;2;$34$;A
276;Matematica;probabilità;c_equazioni;Una scatola contiene palline di vario colore. In particolare, si sa che ci sono $8$ palline rosse e che la probabilità di estrarre una pallina rossa è $0,25$. Quante palline ci sono nell’urna?;"\begin{tasks}(4)
    \task $30$
    \task $32$
    \task $34$
    \task $36$
\end{tasks}";2;$B$;C
277;Matematica;probabilità;c_equazioni;In un’urna ci sono complessivamente $50$ biglie, alcune rosse e alcune nere. Estraendo a caso una biglia dalla scatola, la probabilità che essa sia rossa è $0,32$. Determina il numero di palline nere contenute nell’urna.;"\begin{tasks}(4)
    \task $30$
    \task $32$
    \task $34$
    \task $36$
\end{tasks}";2;$C$;C
278;Matematica;equazioni_grado_2;a_equazioni;Risolvere la seguente equazione di secondo grado:;$6 x^{2}+13 x+7=0$;1;"$[-1; -7/6]$";A
279;Matematica;equazioni_grado_2;a_equazioni;Risolvere la seguente equazione di secondo grado:;$4 x^{2}-8 x+3=0$;1;"$[1/2; 3/2]$";A
280;Matematica;equazioni_grado_2;a_equazioni;Risolvere la seguente equazione di secondo grado:;$12 x^{2}+x-6=0$;1;"$[-3/4; 2/3]$";A
281;Matematica;equazioni_grado_2;a_equazioni;Risolvere la seguente equazione di secondo grado:;$(2 x+1)^{2}-x^{2}-(x-1)^{2}=(2 x+3)(2 x-3)+1$;2;"$[-1; 4]$";A
282;Matematica;equazioni_grado_2;a_equazioni;Risolvere la seguente equazione di secondo grado:;$x-(2 x-1)^{2}+\dfrac{1}{2}=\dfrac{3-x}{2}-(3 x-1)(x-2)$;2;"$[0; -3/2]$";A
283;Matematica;equazioni_grado_2;a_equazioni;Risolvere la seguente equazione di secondo grado:;$(x-1)^{3}=x^{2}(x-1)-(x+3)(x-2)-19$;2;"$[-2; 6]$";A
284;Matematica;equazioni_grado_2;a_equazioni;Risolvere la seguente equazione di secondo grado:;$\dfrac{6-3 x}{5}+\dfrac{x^{2}+2}{15}-x=\dfrac{4-x^{2}}{3}$;2;"$[0; 4]$";A
285;Matematica;equazioni_grado_2;a_equazioni;Risolvere la seguente equazione di secondo grado:;$10x^2-x-2=0$;1;"$[1/2; -2/5]$";A
286;Matematica;equazioni_grado_2;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni di secondo grado:;In un rettangolo la base è 3 $cm$ in più del doppio dell’altezza. L’area del rettangolo è 44 $cm^2$. Quali sono le lunghezze della base e dell’altezza?;1;$[4, 11]$;A
287;Matematica;equazioni_grado_2;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni di secondo grado:;Un rettangolo di area 20 $cm^2$ ha l’altezza minore della base di 1 $cm$. Calcola il perimetro del rettangolo.;1;$[18]$;A
288;Matematica;equazioni_grado_2;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni di secondo grado:;In un rettangolo la misura della base supera di 5 $dm$ la misura dell’altezza. Trova la base e l'altezza sapendo che l’area del rettangolo è di 104 $dm^2$.;1;$[8, 13]$;A
289;Matematica;equazioni_grado_2;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni di secondo grado:;In un rettangolo la base supera di 2 $dm$ il doppio dell’altezza. Trova le misure della base e dell’altezza sapendo che l’area del rettangolo è di 144 $dm^2$.;1;$[8, 18]$;A
290;Matematica;equazioni_grado_2;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni di secondo grado:;La sorella di Marco ha 6 anni in più di lui. Se il prodotto delle età dei due è uguale a 112, quanti anni ha Marco?;1;$[8]$;A
291;Matematica;funzione_quadratica;a_problemi_ottimiz;Risolvere il seguente problema con l’utilizzo della funzione quadratica:;Una compagnia aerea  decide di stabilire il prezzo del biglietto di un volo (per persona), nel seguente modo: 200 euro più 10 euro per ogni posto che resterà libero.  L’aereo dispone di 150 posti. Quanti posti devono restare liberi perché la compagnia ottenga il massimo ricavo?;2;$65$;A
292;Matematica;funzione_quadratica;a_problemi_ottimiz;Risolvere il seguente problema con l’utilizzo della funzione quadratica:;Si deve decidere a quale prezzo affittare 20 appartamenti. In base alle esperienze precedenti, ci si aspetta che, al prezzo di 300 euro al mese, tutti gli appartamenti  verranno affittati, mentre per ogni aumento di 25 euro al mese un appartamento resterà sfitto. A quale prezzo conviene affittare gli appartamenti per ottenere il massimo ricavo?;2;$400$ euro;A
293;Matematica;funzione_quadratica;a_problemi_ottimiz;Risolvere il seguente problema con l’utilizzo della funzione quadratica:;Determina il punto P, sull’asse y, in corrispondenza del quale è minima la somma dei quadrati delle distanze di P da A(-4, 0) e B(2, 1).;2;"$P(0; 1/2)$";A
294;Matematica;funzione_quadratica;a_problemi_ottimiz;Risolvere il seguente problema con l’utilizzo della funzione quadratica:;Siano A e B i punti di intersezione della parabola di equazione  $y=x^2-3x$  con l’asse x. Determina, sull’arco AB , il punto P in corrispondenza del quale è massima la somma delle distanze di P dagli assi cartesiani.;2;"$P(2; -2)$";A
295;Matematica;equazioni_grado_2;a_test;Rispondere al seguente quesito:;L’equazione di secondo grado $3x^2-5x=0$ è completa, pura, spuria o monomia?;1;spuria;A
296;Matematica;equazioni_grado_2;a_test;Rispondere al seguente quesito:;L’equazione di secondo grado $5x^2-3=0$ è completa, pura, spuria o monomia?;1;pura;A
297;Matematica;equazioni_grado_2;a_test;Rispondere al seguente quesito:;Se il discriminante di un’equazione di secondo grado è negativo, quante soluzioni ha l’equazione?;2;zero;A
298;Matematica;equazioni_grado_2;a_test;Rispondere al seguente quesito:;Se il discriminante di un’equazione di secondo grado è positivo, quante soluzioni ha l’equazione?;2;due;A
299;Matematica;equazioni_grado_2;a_grafico;Dopo averne individuato il vertice ed i punti d’intersezione con gli assi cartesiani, traccia il grafico della parabola avente equazione:;$y=x^{2}-6x+5$;1;\includegraphics[scale=0.4]{2gr_1};A
300;Matematica;equazioni_grado_2;a_grafico;Dopo averne individuato il vertice ed i punti d’intersezione con gli assi cartesiani, traccia il grafico della parabola avente equazione:;$y=-x^{2}+6x-8$;1;\includegraphics[scale=0.4]{2gr_2};A
301;Matematica;equazioni_grado_2;a_grafico;Dopo averne individuato il vertice ed i punti d’intersezione con gli assi cartesiani, traccia il grafico della parabola avente equazione:;$y=x^{2}+6x+8$;1;\includegraphics[scale=0.4]{2gr_3};A
302;Matematica;equazioni_grado_2;a_grafico;Dopo averne individuato il vertice ed i punti d’intersezione con gli assi cartesiani, traccia il grafico della parabola avente equazione:;$y=-\left(x-3\right)^{2}+4$;2;\includegraphics[scale=0.4]{2gr_4};A
303;Matematica;equazioni_grado_2;a_grafico;Dopo averne individuato il vertice ed i punti d’intersezione con gli assi cartesiani, traccia il grafico della parabola avente equazione:;$y=\left(x-3\right)^{2}-4$;2;\includegraphics[scale=0.4]{2gr_5};A
304;Matematica;equazioni_grado_2;a_grafico;Dopo averne individuato il vertice ed i punti d’intersezione con gli assi cartesiani, traccia il grafico della parabola avente equazione:;$y=\left(x-2\right)^{2}-9$;2;\includegraphics[scale=0.4]{2gr_6};A
305;Matematica;esponenziali;a_equazioni;Risolvere la seguente equazione esponenziale:;$3 \cdot 5^{x}+5^{x+1}=8 \cdot 5^{3}$;1;[3];A
306;Matematica;esponenziali;a_equazioni;Risolvere la seguente equazione esponenziale:;$3^{x}-3^{x-2}+3^{x+1}=35$;2;[2];A
307;Matematica;esponenziali;a_equazioni;Risolvere la seguente equazione esponenziale:;$8+2^{x+1}=2^{2 x}$;2;[2];A
308;Matematica;esponenziali;a_equazioni;Risolvere la seguente equazione esponenziale:;$9^{x}-3=2 \cdot 3^{x}$;2;[1];A
309;Matematica;esponenziali;a_equazioni;Risolvere la seguente equazione esponenziale:;$3^{2 x}-9 \cdot 3^{x}+3=\dfrac{1}{3} \cdot 3^{x}$;2;"[-1; 2]";A
310;Matematica;esponenziali;a_equazioni;Risolvere la seguente equazione esponenziale:;$5^{2 x}-5^{x}=5^{x-2}-\dfrac{1}{25}$;2;"[0; -2]";A
311;Matematica;esponenziali;a_equazioni;Risolvere la seguente equazione esponenziale:;$9 \cdot 2^{2 x+1}-9^{2}-4^{2 x}=0$;3;[log3 / log2];A
